userid,avg_course_viewed,avg_attempt_viewed,avg_submission_status_viewed,avg_s_all,cluster
35444,0.4444444444444444,0.0,0.06944444444444445,0.8333333333333334,0
34657,3.2708333333333335,0.2604166666666667,1.1979166666666667,10.791666666666666,0
29089,0.8333333333333334,1.7708333333333333,0.20833333333333334,4.375,0
29573,0.7708333333333334,0.4583333333333333,1.2916666666666667,7.541666666666667,0
30966,0.08333333333333333,0.0,0.041666666666666664,0.16666666666666666,0
35350,1.1041666666666667,1.3125,0.19791666666666666,4.125,0
29539,1.4027777777777777,0.3055555555555556,1.1388888888888888,6.194444444444445,0
21783,0.1527777777777778,0.0,0.18055555555555555,0.7916666666666666,0
24269,1.7638888888888888,1.2777777777777777,1.2916666666666667,8.319444444444445,0
22121,0.125,1.0,0.10416666666666667,1.4791666666666667,0
5613,0.875,0.0,0.3125,2.125,0
24528,0.6041666666666666,0.0,0.20833333333333334,1.75,0
27492,0.3541666666666667,0.0,0.0625,0.875,0
15539,0.0,0.0,0.0,0.125,0
24078,0.041666666666666664,0.0,0.0,0.08333333333333333,0
25350,1.25,1.5208333333333333,0.9791666666666666,6.979166666666667,0
30054,0.041666666666666664,0.0,0.0,0.125,0
35438,1.2361111111111112,1.3055555555555556,0.09722222222222222,4.152777777777778,0
27753,0.375,0.0,0.19444444444444445,0.9583333333333334,0
27563,0.6770833333333334,0.0,0.59375,2.4583333333333335,0
27541,1.4583333333333333,1.4722222222222223,0.6111111111111112,6.083333333333333,0
33774,0.22916666666666666,0.4375,0.10416666666666667,1.7291666666666667,0
27966,2.21875,2.875,0.6145833333333334,8.84375,0
32788,0.3194444444444444,1.3194444444444444,0.16666666666666666,2.4166666666666665,0
29055,2.2777777777777777,0.6805555555555556,0.9027777777777778,7.388888888888889,0
20252,10.333333333333334,7.791666666666667,7.308333333333334,38.36666666666667,1
23565,0.4791666666666667,0.0,0.20833333333333334,0.9791666666666666,0
34155,6.722222222222222,0.0,6.819444444444445,34.875,2
34602,3.875,10.875,0.625,29.166666666666668,2
35973,5.25,0.0,1.0,10.875,0
33776,3.9444444444444446,2.5,3.888888888888889,21.76388888888889,2
36021,1.375,2.2777777777777777,1.3611111111111112,9.972222222222221,0
31596,0.9166666666666666,0.0,0.2916666666666667,1.9305555555555556,0
32119,1.9166666666666667,0.0,1.4583333333333333,7.736111111111111,0
35659,3.263888888888889,1.8611111111111112,0.027777777777777776,9.375,0
10133,0.09722222222222222,0.0,0.0,0.16666666666666666,0
34452,5.208333333333333,11.770833333333334,4.604166666666667,40.229166666666664,1
29380,6.027777777777778,1.9861111111111112,3.861111111111111,25.22222222222222,2
35297,2.3645833333333335,6.447916666666667,3.1145833333333335,23.541666666666668,2
36019,4.158333333333333,8.325,2.525,24.825,2
25685,2.325,1.5166666666666666,1.5166666666666666,9.875,0
36157,0.25,0.0,0.08333333333333333,0.5208333333333334,0
29431,0.3958333333333333,0.0,0.0,1.8541666666666667,0
29444,12.458333333333334,3.6527777777777777,4.5,33.916666666666664,2
29580,8.152777777777779,2.5972222222222223,2.75,21.416666666666668,2
34958,4.270833333333333,0.0,7.4375,31.333333333333332,2
34316,4.027777777777778,5.513888888888889,3.513888888888889,23.916666666666668,2
22920,0.9166666666666666,0.0,0.0,1.5833333333333333,0
25249,0.06944444444444445,0.0,0.0,0.06944444444444445,0
36182,6.597222222222222,2.2222222222222223,4.166666666666667,25.430555555555557,2
36869,1.3194444444444444,0.0,0.7916666666666666,3.5694444444444446,0
28056,0.5833333333333334,0.0,0.3125,1.8541666666666667,0
25638,2.2604166666666665,0.3333333333333333,0.8333333333333334,7.354166666666667,0
32247,0.3333333333333333,0.0,0.16666666666666666,0.75,0
25835,0.5,0.0,0.041666666666666664,0.9166666666666666,0
24274,0.875,0.6805555555555556,0.625,4.236111111111111,0
27967,0.5520833333333334,3.3854166666666665,0.46875,6.708333333333333,0
35299,2.7222222222222223,10.430555555555555,4.555555555555555,32.958333333333336,2
20899,0.7708333333333334,0.041666666666666664,0.5,3.2916666666666665,0
35931,0.6145833333333334,0.0,1.1145833333333333,5.5,0
13700,0.9444444444444444,0.0,0.3472222222222222,2.6944444444444446,0
20723,2.375,0.0,1.375,12.125,0
25122,0.5,0.0,0.041666666666666664,1.3333333333333333,0
18106,0.75,0.0,0.4583333333333333,2.375,0
29230,4.28125,5.489583333333333,3.4375,21.041666666666668,2
36807,0.6979166666666666,0.0,0.09375,1.875,0
34044,3.8333333333333335,3.3541666666666665,4.270833333333333,24.229166666666668,2
32201,0.8194444444444444,0.0,0.6111111111111112,3.0,0
30239,0.041666666666666664,0.0,0.0,0.041666666666666664,0
24873,0.5972222222222222,0.0,0.6944444444444444,2.8194444444444446,0
31918,2.1527777777777777,0.0,1.0,5.930555555555555,0
36744,1.3541666666666667,0.0,0.9375,4.541666666666667,0
37121,0.05555555555555555,0.0,0.0,0.20833333333333334,0
25144,4.222222222222222,1.2777777777777777,0.7083333333333334,9.152777777777779,0
36885,1.65625,0.22916666666666666,0.96875,4.822916666666667,0
28034,1.0,0.0,0.5833333333333334,2.5972222222222223,0
29785,3.4444444444444446,0.3055555555555556,2.0555555555555554,13.86111111111111,2
25718,1.03125,0.3541666666666667,0.25,4.197916666666667,0
35976,4.4375,0.75,1.1666666666666667,11.416666666666666,0
33959,2.6666666666666665,0.07291666666666667,1.4166666666666667,9.260416666666666,0
33853,6.513888888888889,10.708333333333334,7.597222222222222,51.236111111111114,1
29382,8.180555555555555,3.9166666666666665,4.847222222222222,38.013888888888886,2
